NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
GR,300,34024300,Greece,34.5,24.5,34024,8310.64425,8589.597921,8672.013059,8636.515195,97.26901483,95.67126526,103.9603451,117.941875,80.87369078,81.31094186,87.54129909,98.52196094
GR,300,34025300,Greece,34.5,25.5,34025,5719.731004,5911.13455,5967.700124,5944.5774,67.29150438,65.98281094,71.64513292,80.85540888,55.94908437,56.07874517,60.32981135,67.54202813
GR,300,34026300,Greece,34.5,26.5,34026,67.59899799,69.88951301,70.53694695,70.29783067,0.833249871,0.817651839,0.818788205,1.002779434,0.692800195,0.694921729,0.689472347,0.837665132
GR,300,35023300,Greece,35.5,23.5,35023,48921.71489,50563.61031,51048.98353,50848.68919,542.2637368,565.3518656,644.2149605,791.6498551,450.8616629,480.4921577,542.4704436,661.299442
GR,300,35024300,Greece,35.5,24.5,35024,202563.4428,209341.8151,211341.8941,210512.4268,2207.993274,2226.16712,2549.750293,2888.983634,1835.821671,1892.017888,2147.05379,2413.293267
GR,300,35025300,Greece,35.5,25.5,35025,289434.2815,299121.6426,301976.384,300795.6385,3440.150905,3372.654878,3600.093024,4132.551057,2860.291132,2866.417037,3031.509945,3452.099045
GR,300,35026300,Greece,35.5,26.5,35026,16083.10599,16622.90322,16780.26467,16717.95418,200.4537965,196.3986493,204.1858051,239.9275378,166.6660075,166.9190756,171.9375846,200.4218732
GR,300,35027300,Greece,35.5,27.5,35027,7519.277622,7775.901247,7853.351436,7828.666971,99.63031201,96.61354031,118.3829251,115.7665623,82.83697599,82.11178077,99.68603931,96.70482798
GR,300,36021300,Greece,36.5,21.5,36021,23066.90257,22125.06263,20732.48544,19166.60708,225.7090145,198.6490061,172.1396919,196.108282,187.6642945,168.8316522,144.9526955,163.8177492
GR,300,36022300,Greece,36.5,22.5,36022,73124.45661,70430.2846,66307.52973,61648.81247,733.6017595,769.2025927,923.2777726,1099.354168,609.9484194,653.744749,777.4592855,918.338194
GR,300,36023300,Greece,36.5,23.5,36023,9602.040281,9431.322795,9077.897492,8654.399294,100.0560823,110.7822036,142.3024305,175.4511819,83.1909799,94.15371784,119.8278018,146.5619781
GR,300,36024300,Greece,36.5,24.5,36024,8014.002567,8288.551938,8372.210975,8343.041586,87.47007143,94.71437579,124.1796451,141.442653,72.72642292,80.49768216,104.5672505,118.1531796
GR,300,36025300,Greece,36.5,25.5,36025,20782.35883,21489.68844,21709.24321,21636.85905,226.8322721,245.5655031,321.9993052,366.8176305,188.5982198,208.7059504,271.1441315,306.4186683
GR,300,36026300,Greece,36.5,26.5,36026,10388.15234,10741.70654,10851.71306,10814.70266,136.3627728,132.905489,163.4430761,161.1290421,113.377942,112.9562827,137.6295855,134.5980738
GR,300,36027300,Greece,36.5,27.5,36027,45864.22429,47427.07673,47911.2138,47753.01154,607.7002614,589.2690306,722.2228216,706.1485699,505.2684363,500.8193396,608.1580815,589.876512
GR,300,36028300,Greece,36.5,28.5,36028,99439.87776,102830.7435,103882.0622,103539.4933,1317.57684,1277.645107,1565.938121,1531.092233,1095.490708,1085.869689,1318.620645,1278.987715
GR,300,36029300,Greece,36.5,29.5,36029,553.0331549,620.0674767,654.981186,674.1837261,7.327680735,7.704176307,9.87331196,9.969504721,6.092552566,6.547774089,8.31396389,8.327959472
GR,300,37020300,Greece,37.5,20.5,37020,40270.54691,39965.14118,38742.08989,37054.05593,309.4133878,351.5764518,555.8984644,578.3785351,257.2597522,298.804582,468.1022718,483.1446631
GR,300,37021300,Greece,37.5,21.5,37021,297759.1569,285629.9927,267655.9505,247455.4921,2770.680019,2424.430049,2215.033899,2372.510187,2303.663911,2060.521414,1865.201052,1981.860608
GR,300,37022300,Greece,37.5,22.5,37022,425273.1955,407913.9955,382232.2954,353369.6161,4627.732682,4328.183878,4773.821121,4817.743649,3847.698289,3678.52047,4019.864517,4024.47012
GR,300,37023300,Greece,37.5,23.5,37023,1891847.483,2112079.156,2304402.324,2481614.905,20131.6941,25395.90175,37212.38212,51753.75218,16738.36634,21583.95925,31335.21988,43232.15272
GR,300,37024300,Greece,37.5,24.5,37024,56413.69819,60325.0597,63113.46883,65250.64966,605.1996239,721.7637181,1006.036462,1323.296048,503.1892975,613.4264824,847.1474263,1105.406554
GR,300,37025300,Greece,37.5,25.5,37025,43175.14498,44650.60884,45104.74812,44954.60769,469.9398561,508.4038147,665.7048424,758.5151245,390.7284419,432.0920488,560.5663068,633.6205652
GR,300,37026300,Greece,37.5,26.5,37026,53704.9932,55534.93159,56103.14279,55918.50985,523.4365969,519.8650783,595.8202707,653.3506149,435.2079597,441.8329687,501.7190013,545.7720914
