x,y,OBJECTID,WELLPOLL_ID,WE_SITE_ID,WE_TYPE_HP,WE_ID_CODE,WE_ID_YEAR,WE_UPD_DATE,WE_SYSTYPE,LOCID,SITE_ID,PERMIT_NUMBER,DEPTH,STATUS,WELL_TYPE,YIELD,LOCCONWELLDRILLER
-77.70610823,39.18710922,2,,WWDH-2005-0838,W,WWDH,2005,1970/01/01 00:00:00+00,Unknown,22970,WWDH-2005-0838,T50194650002,500,Abandoned,Dry Hole,,
-77.53742962,38.96726522,3,2360,WWIN-1957-0118,W,WWIN,1957,1899/12/31 00:00:00+00,Unknown,24407,WWIN-1957-0118,T10110440003,,Abandoned,Individual Water Well,,
-77.79272529,39.00394512,4,4555,WWIN-1961-0124,W,WWIN,1961,1899/12/31 00:00:00+00,Unknown,24891,WWIN-1961-0124,,,Active,Individual Water Well,,
-77.58966109,38.9917095,5,3886,WWIN-1975-0152,W,WWIN,1975,1899/12/31 00:00:00+00,Unknown,27191,WWIN-1975-0152,,,Active,Individual Water Well,,
-77.83884801,39.02676855,6,6355,WWIN-1980-0271,W,WWIN,1980,1899/12/31 00:00:00+00,Unknown,28510,WWIN-1980-0271,,,Active,Individual Water Well,,
-77.47198416,38.91688283,7,528,WWIN-1985-0381,W,WWIN,1985,1899/12/31 00:00:00+00,Unknown,29763,WWIN-1985-0381,,208,Active,Individual Water Well,,
-77.68945558,39.0597119,8,9665,WWIN-1988-0577,W,WWIN,1988,1899/12/31 00:00:00+00,Unknown,31096,WWIN-1988-0577,,450,Active,Individual Water Well,,
-77.70342769,39.00658697,9,4907,WWIN-1992-0272,W,WWIN,1992,1899/12/31 00:00:00+00,Unknown,32428,WWIN-1992-0272,,650,Active,Individual Water Well,,
-77.76480491,39.17212375,10,22999,WWIN-1998-0075,W,WWIN,1998,1899/12/31 00:00:00+00,Unknown,33996,WWIN-1998-0075,417FCW98,500,Active,Individual Water Well,5.5,
-77.69004505,39.12385923,11,16683,WWIN-1999-0309,W,WWIN,1999,1899/12/31 00:00:00+00,Unknown,34549,WWIN-1999-0309,1034FW98,600,Active,Individual Water Well,1.5,
-77.59239212,39.13971217,12,19148,WWIN-2000-0799,W,WWIN,2000,1899/12/31 00:00:00+00,Unknown,35291,WWIN-2000-0799,219FW00,325,Active,Individual Water Well,8,
-77.61383181,38.9575797,13,1986,WWIN-2003-0437,W,WWIN,2003,1899/12/31 00:00:00+00,Unknown,36676,WWIN-2003-0437,T30149050002,300,Active,Individual Water Well,30,
-77.66785857,39.15901621,14,21871,WWIN-2006-0135,W,WWIN,2006,1899/12/31 00:00:00+00,Unknown,37894,WWIN-2006-0135,T50158160001,300,Active,Individual Water Well,10,
-77.69536381,39.14865154,15,20306,WWTS-2002-0448,W,WWTS,2002,1899/12/31 00:00:00+00,Unknown,40773,WWTS-2002-0448,T20071930001,565,Active,Test Well,50,Singhas & Michael Corp
-77.68438713,39.12156076,16,16389,WWTS-2000-0454,W,WWTS,2000,1899/12/31 00:00:00+00,Unknown,40251,WWTS-2000-0454,1308FTW00,300,Active,Test Well,25,Singhas & Michael Corp
-77.52575238,39.21300762,17,26769,WWTS-2006-0290,W,WWTS,2006,1899/12/31 00:00:00+00,Unknown,41414,WWTS-2006-0290,T60084920009,300,Active,Test Well,20,Phillips & Son
-77.7797135,39.13627285,18,,WWIN-2010-0047,W,WWIN,2010,1970/01/01 00:00:00+00,Unknown,42459,WWIN-2010-0047,T00107050001,800,Active,Individual Water Well,3,Northern Virginia  Drilling
-77.70740159,39.12497069,19,,WWTS-2013-0156,W,WWTS,2013,1970/01/01 00:00:00+00,Unknown,43347,WWTS-2013-0156,T30434810005,480,Active,Test Well,16,Singhas & Michael Corp
-77.60544747,39.04797697,20,,WWHP-2015-0173,W,WWHP,2015,1970/01/01 00:00:00+00,Unknown,43941,WWHP-2015-0173,T50451210001,320,Abandoned,Heat Pump Well,,Allied Well Drilling
-77.62522621,39.13562445,21,,WWIN-1999-0709,W,WWIN,1999,1970/01/01 00:00:00+00,Active,44569,WWIN-1999-0709,122 FW 1999,420,Active,Individual Water Well,6,Northern Virginia  Drilling
-77.78410817,39.00440333,22,,WWIN-1111-0586,W,WWIN,1111,1970/01/01 00:00:00+00,Active,45187,WWIN-1111-0586,,,Active,Individual Water Well,,
-77.69251118,39.25267382,23,30203,WWSP-1963-0005,W,WWSP,1963,1899/12/31 00:00:00+00,Unknown,39145,WWSP-1963-0005,,,Active,Spring,,
-77.6112814,39.05615095,24,9167,WWIN-2003-0438,W,WWIN,2003,1899/12/31 00:00:00+00,Abandoned,36677,WWIN-2003-0438,T20250960001,320,Abandoned,Individual Water Well,18,
-77.61179118,39.05607434,25,9151,WWIN-2003-0439,W,WWIN,2003,1899/12/31 00:00:00+00,Unknown,36678,WWIN-2003-0439,T30216220001,260,Active,Individual Water Well,15,
-77.58599919,39.20682962,26,26151,WWIN-2003-0440,W,WWIN,2003,1899/12/31 00:00:00+00,Unknown,36679,WWIN-2003-0440,T30123390001,500,Active,Individual Water Well,20,
-77.74964762,39.22313219,27,27644,WWIN-2003-0441,W,WWIN,2003,1899/12/31 00:00:00+00,Unknown,36680,WWIN-2003-0441,T30155900001,500,Active,Individual Water Well,15,
