city,x,y,country,iso2,admin_name,capital,population,population_proper
Nicosia,35.1725,33.365,Cyprus,CY,LefkosΓ­a,primary,330000,330000
Limassol,34.675,33.0443,Cyprus,CY,LemesΓ³s,admin,235056,235056
Larnaca,34.9233,33.6305,Cyprus,CY,LΓ΅rnaka,admin,48947,48947
Famagusta,35.1167,33.95,Cyprus,CY,AmmΓ³chostos,admin,40920,40920
Paphos,34.7761,32.4265,Cyprus,CY,PΓ΅fos,admin,35961,35961
Kyrenia,35.3403,33.3192,Cyprus,CY,KerΓ½neia,admin,33207,33207
MΓ©sa GeitoniΓ΅,34.7006,33.0381,Cyprus,CY,LemesΓ³s,,,
Zakaki,34.6586,33.0026,Cyprus,CY,LemesΓ³s,,,
Agia Fylaxis,34.7167,33.025,Cyprus,CY,LemesΓ³s,,,
Anavargos,34.7946,32.4515,Cyprus,CY,PΓ΅fos,,,
Γgios AthanΓ΅sios,34.7093,33.05,Cyprus,CY,LemesΓ³s,,,
Verengaria,34.6961,33.0054,Cyprus,CY,LemesΓ³s,,,
KΓ΅to PolemΓ­dia,34.6972,32.9932,Cyprus,CY,LemesΓ³s,,,
ChlΓ³rakas,34.7977,32.4121,Cyprus,CY,PΓ΅fos,,,
Latsia,35.1017,33.3795,Cyprus,CY,LefkosΓ­a,,,
LivΓ΅dia,34.9512,33.6266,Cyprus,CY,LΓ΅rnaka,,,
GermasΓ³geia,34.7207,33.0845,Cyprus,CY,LemesΓ³s,,,
PΓ΅no PolemΓ­dia,34.7056,32.9927,Cyprus,CY,LemesΓ³s,,,
TrachΓ³ni,34.6576,32.9653,Cyprus,CY,LemesΓ³s,,,
GeroskΓ­pou,34.7619,32.4514,Cyprus,CY,PΓ΅fos,,,
KolΓ³ssi,34.6705,32.9328,Cyprus,CY,LemesΓ³s,,,
MouttagiΓ΅ka,34.7202,33.1007,Cyprus,CY,LemesΓ³s,,,
TΓ΅la,34.8374,32.4327,Cyprus,CY,PΓ΅fos,,,
KΓ­ti,34.847,33.5734,Cyprus,CY,LΓ΅rnaka,,,
Γ‰mpa,34.8076,32.424,Cyprus,CY,PΓ΅fos,,,
VorΓ³klini,34.986,33.6539,Cyprus,CY,LΓ΅rnaka,,,
