NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
TR,792,35035792,Turkey,35.5,35.5,35035,10834.64059,11846.843,12861.83988,13718.4525,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,35036792,Turkey,35.5,36.5,35036,54423.356,58449.65026,62179.50407,64634.79665,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36027792,Turkey,36.5,27.5,36027,21293.25512,24129.34903,27061.28178,29600.59201,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36028792,Turkey,36.5,28.5,36028,105211.833,119225.2187,133712.154,146259.1106,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36029792,Turkey,36.5,29.5,36029,353596.227,421434.8576,498311.6915,576003.26,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36030792,Turkey,36.5,30.5,36030,244203.6073,302519.407,370896.6314,443507.7859,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36031792,Turkey,36.5,31.5,36031,145239.5693,179922.763,220589.9706,263775.2976,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36032792,Turkey,36.5,32.5,36032,402969.6788,473460.5529,552195.7051,629962.1756,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36033792,Turkey,36.5,33.5,36033,636425.0522,728612.3451,825676.0353,912708.8986,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36034792,Turkey,36.5,34.5,36034,282739.7289,324307.1302,368155.7576,407625.7519,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36035792,Turkey,36.5,35.5,36035,416658.9383,454713.466,491234.2857,517707.0883,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36036792,Turkey,36.5,36.5,36036,1024672.237,1093509.368,1156049.035,1193165.267,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,36037792,Turkey,36.5,37.5,36037,380142.0849,416549.5571,453949.1199,484631.0254,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
